68,"White, Blair",IND,62,4.8,13,4,36,57,355,9.9,5,0,0,0,36,355,435,5,0,0,2010
69,"Tate, Brandon",NE,61,3.8,16,10,24,46,432,18,3,5,62,0,29,494,1555,5,0,1,2010
70,"Smith, Steve",CAR,61,4.4,14,14,46,99,554,12,2,1,9,0,47,563,609,2,0,2,2010
71,"Avant, Jason",PHI,60,3.8,16,3,51,74,573,11.2,1,0,0,0,51,573,573,1,1,0,2010
72,"Massaquoi, Mohamed",CLE,60,4,15,14,36,67,483,13.4,2,1,-3,0,37,509,480,3,0,1,2010
73,"Jenkins, Michael",ATL,57,5.2,11,9,41,73,505,12.3,2,0,0,0,41,505,505,2,0,0,2010
74,"Butler, Deon",SEA,57,4.4,13,8,36,70,385,10.7,4,2,6,0,38,391,391,4,0,0,2010
75,"Crayton, Patrick",SD,54,5.4,10,2,28,42,514,18.4,1,0,0,0,28,514,568,1,0,0,2010
76,"LaFell, Brandon",CAR,54,3.9,14,4,38,77,468,12.3,1,1,60,0,39,528,528,1,0,0,2010
77,"Houshmandzadeh, T.J.",BAL,51,3.2,16,1,30,57,398,13.3,3,0,0,0,30,398,398,3,0,0,2010
78,"Obomanu, Ben",SEA,51,4.3,12,4,21,38,347,16.5,3,0,0,0,21,347,347,3,2,0,2010
79,"Henderson, Devery",NO,47,2.9,16,11,34,59,464,13.6,1,3,8,0,37,472,614,1,0,0,2010
80,"Benn, Arrelious",TB,46,3.1,15,9,25,38,395,15.8,2,6,35,0,31,430,430,2,0,0,2010
81,"Robiskie, Brian",CLE,45,3.2,14,11,29,43,310,10.7,3,0,0,0,29,310,310,3,0,0,2010
82,"Simpson, Jerome",CIN,45,11.3,4,3,20,25,277,13.9,3,1,2,0,21,279,279,3,0,2,2010
83,"Sanders, Emmanuel",PIT,44,3.4,13,1,28,48,376,13.4,2,0,0,0,28,376,1064,2,0,1,2010
84,"Heyward-Bey, Darrius",OAK,44,2.9,15,14,26,65,366,14.1,1,4,48,0,30,414,414,1,0,1,2010
85,"Jackson, Vincent",SD,42,8.4,5,5,14,24,248,17.7,3,1,14,0,15,262,262,3,0,0,2010
86,"Parrish, Roscoe",BUF,42,6,7,5,29,45,334,11.5,2,2,10,0,31,344,433,2,0,0,2010
87,"Naanee, Legedu",SD,41,4.1,10,9,23,46,371,16.1,1,3,-2,0,26,369,369,1,1,1,2010
88,"Robinson, Laurent",STL,40,2.9,14,11,34,75,344,10.1,2,2,-14,0,36,330,330,2,0,0,2010
89,"Roberts, Andre",ARI,40,2.7,15,2,24,49,307,12.8,2,0,0,0,24,307,896,2,0,1,2010
90,"Clayton, Mark",STL,40,8,5,5,23,42,306,13.3,2,1,6,0,24,312,312,2,0,0,2010
91,"Cotchery, Jerricho",NYJ,39,3,13,5,37,73,344,9.3,2,3,5,0,40,349,415,2,0,0,2010
92,"Rice, Sidney",MIN,38,6.3,6,5,17,42,280,16.5,2,0,0,0,17,280,280,2,0,0,2010
93,"Nelson, David",BUF,37,2.6,14,2,28,44,292,10.4,2,0,0,0,28,292,292,2,0,0,2010
94,"Smith, Brad",NYJ,37,2.3,16,2,4,7,44,11,0,38,299,1,42,349,1775,4,0,1,2010
95,"Thomas, Demaryius",DEN,36,3.6,10,2,22,39,283,12.9,2,2,1,0,24,284,682,2,0,2,2010
96,"Ajirotutu, Seyi",SD,35,3.5,10,0,13,23,262,20.2,2,0,0,0,13,262,262,2,0,0,2010
97,"Stuckey, Chansi",CLE,35,2.2,16,5,40,59,346,8.7,0,3,9,1,43,355,360,1,0,2,2010
98,"Cribbs, Josh",CLE,34,2.3,15,5,23,35,292,12.7,1,20,66,0,43,377,1340,1,0,0,2010
99,"Alexander, Danario",STL,34,4.3,8,2,20,37,306,15.3,1,0,0,0,20,306,306,1,0,0,2010
100,"Spurlock, Michael",TB,33,2.1,16,1,17,32,250,14.7,2,0,0,0,17,250,1572,3,0,1,2010
101,"Doucet, Early",ARI,31,3.1,10,5,26,59,291,11.2,1,2,5,0,28,296,296,1,0,0,2010
102,"Finneran, Brian",ATL,31,1.9,16,1,19,30,166,8.7,3,0,0,0,19,166,184,3,0,0,2010
103,"Douglas, Harry",ATL,30,1.9,16,4,22,53,294,13.4,1,2,-5,0,24,289,289,1,0,0,2010
104,"Randle El, Antwaan",PIT,30,1.9,16,0,22,36,253,11.5,0,1,2,0,23,297,311,2,0,0,2010
105,"Stokley, Brandon",SEA,30,2.7,11,0,31,43,354,11.4,0,0,0,0,31,354,354,0,0,0,2010
106,"Davis, Craig",SD,29,4.1,7,1,21,39,259,12.3,1,0,0,0,21,259,259,1,0,0,2010
107,"Hill, Jason",SF,28,3.5,8,1,11,21,248,22.5,1,0,0,0,11,248,278,1,0,0,2010
108,"Hagan, Derek",NYG,27,3.9,7,4,24,43,223,9.3,1,0,0,0,24,223,223,1,0,0,2010
109,"Caldwell, Andre",CIN,27,1.9,14,4,21,30,312,14.9,0,1,-2,0,22,310,389,0,0,1,2010
110,"Jones, Donald",BUF,24,1.6,15,5,18,41,213,11.8,1,3,1,0,21,214,334,1,0,0,2010
111,"Camarillo, Greg",MIN,24,1.5,16,1,20,34,240,12,1,0,0,0,20,240,599,1,0,0,2010
112,"Gage, Justin",TEN,23,2.6,9,5,13,28,198,15.2,1,0,0,0,13,198,200,1,0,0,2010
113,"Chambers, Chris",KC,23,1.8,13,7,22,43,213,9.7,1,0,0,0,22,213,213,1,0,0,2010
114,"Charles, Jamaal",KC,23,23,1,1,4,5,61,15.3,0,22,177,0,26,238,238,0,0,0,2010
115,"Washington, Kelley",SD,22,2.8,8,0,13,14,173,13.3,1,0,0,0,13,173,173,1,0,0,2010
116,"Stroughter, Sammie",TB,21,1.8,12,4,24,40,239,10,0,1,2,0,25,241,320,0,0,1,2010
117,"Martin, Ruvell",SEA,21,5.3,4,0,7,9,158,22.6,1,0,0,0,7,158,158,1,0,0,2010
118,"Berrian, Bernard",MIN,21,1.5,14,9,28,54,252,9,0,1,-8,0,29,244,246,0,0,0,2010
119,"Rivers, Philip",SD,21,21,1,1,0,0,0,0,0,2,3,0,2,308,3,2,0,0,2010
120,"Williams, Damian",TEN,19,1.2,16,1,16,28,219,13.7,0,1,5,0,17,224,224,0,0,0,2010
121,"Ginn Jr., Ted",SF,19,1.5,13,0,12,35,163,13.6,1,2,11,0,14,174,1487,2,0,0,2010
122,"Moore, Marlon",MIA,18,2.3,8,0,6,19,128,21.3,1,1,16,0,7,144,195,1,0,0,2010
123,"Tate, Golden",SEA,18,1.8,10,0,19,35,206,10.8,0,2,4,0,21,210,422,0,0,0,2010
