130,"Hill, Michael",GB,3,0.4,8,0,9,23,2.6,0,2,23,0,0,0,11,46,65,0,0,0,2013
131,"Green, Alex",NYJ,3,0.3,12,0,11,35,3.2,0,2,8,0,0,0,13,43,65,0,0,0,2013
132,"Ewing, Bradie",ATL,2,1,2,2,0,0,0,0,2,29,0,0,0,2,29,29,0,0,0,2013
133,"DiMarco, Patrick",ATL,2,0.1,14,8,0,0,0,0,8,49,0,0,0,8,49,70,0,0,0,2013
134,"Paul, Niles",WAS,2,1,2,2,0,0,0,0,1,25,0,0,0,1,25,204,0,0,0,2013
135,"Robinson, Michael",SEA,2,0.2,9,3,1,0,0,0,2,27,0,0,0,3,27,31,0,0,0,2013
136,"Stephens-Howling, LaRod",PIT,2,2,1,0,6,19,3.2,0,2,11,0,0,0,8,30,55,0,0,0,2013
137,"Felton, Jerome",MIN,2,0.2,13,10,0,0,0,0,6,37,0,0,0,6,37,59,0,0,0,2013
138,"Conner, John",NYG,2,0.2,13,7,0,0,0,0,6,31,0,0,0,6,31,31,0,0,0,2013
139,"Mooney, Collin",TEN,2,0.2,12,4,0,0,0,0,6,32,0,0,0,6,32,32,0,0,0,2013
140,"Demps, Jeffery",TB,2,1,2,0,1,14,14,0,3,21,0,0,0,4,35,128,0,0,0,2013
141,"Gillislee, Mike",MIA,2,0.7,3,0,6,21,3.5,0,0,0,0,0,0,6,21,21,0,0,0,2013
142,"Gray, Cyrus",KC,1,0.1,16,0,9,24,2.7,0,7,46,0,0,0,16,70,70,0,0,0,2013
143,"Jones, Greg",HOU,1,0.1,16,5,2,2,1,0,5,34,0,0,0,7,36,79,0,0,0,2013
144,"Ellison, Rhett",MIN,1,0.1,7,1,0,0,0,0,1,13,0,0,0,1,13,20,0,0,0,2013
145,"Ware, Spencer",SEA,1,0.5,2,0,3,10,3.3,0,0,0,0,0,0,3,10,10,0,0,0,2013
146,"Smith, Lee",BUF,1,1,1,1,0,0,0,0,1,18,0,0,0,1,18,18,0,0,0,2013
147,"Banyard, Joe",MIN,1,0.3,3,0,0,0,0,0,1,11,0,0,0,1,11,17,0,0,0,2013
148,"McClain, Le'Ron",SD,1,0.1,16,4,11,32,2.9,0,2,-7,0,0,0,13,25,25,0,0,0,2013
149,"Scott, Bernard",BAL,1,0.5,2,0,4,14,3.5,0,2,10,0,0,0,6,24,24,0,0,0,2013
150,"Peerman, Cedric",CIN,1,0.1,16,0,8,17,2.1,0,0,0,0,0,0,8,17,83,0,0,0,2013
151,"Graham, Ray",HOU,1,1,1,0,4,8,2,0,1,12,0,0,0,5,20,20,0,0,0,2013
152,"Ta'ufo'ou, Will",JAX,1,0.1,16,7,1,1,1,0,10,40,0,0,0,11,41,46,0,0,0,2013
153,"Pascoe, Bear",NYG,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
154,"Tukuafu, Will",SF,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
155,"Smith, Armond",CAR,0,0,5,0,4,5,1.3,0,0,0,0,0,0,4,5,5,0,0,0,2013
