Rank,Player,Tm,Tot Pts,Avg Pts,G,GS,Rec,Tar,Rec Yds,Rec Avg,Rec TD,Run Att,Run Yds,Run TD,Pass TD,Off Yds,Tot Tchs,Tot TD,2pt,FumL,year
132,"Hartsock, Ben",CAR,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
133,"Coffman, Chase",ATL,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2013
134,"Parnell, Jermey",DAL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
135,"Hynoski, Henry",NYG,0,0,2,2,1,1,5,5,0,0,0,0,0,5,1,0,0,0,2013
136,"Carimi, Gabe",TB,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
137,"Williams, D.J.",JAX,0,0,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2013
138,"Reuland, Konrad",NYJ,0,0,10,0,1,3,7,7,0,0,0,0,0,7,1,0,0,0,2013
139,"Walker, Tyrunn",NO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
140,"Schraeder, Ryan",ATL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
141,"Stoneburner, Jake",GB,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
142,"Harris, Ryan",HOU,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
143,"Larsen, Spencer",TB,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
144,"Britton, Eben",CHI,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013


Read more: http://www.kffl.com/stats_analyzer/index.php?~state=62fb61c9e70da90469f08b360a29a7cc#ixzz2uS4DjbiT
